عربي,English
شهد العالم الاسلامي أواخر القرن الخامس عشر و بداية القرن السادس عشر صراعا حادا بس ثلاث قوي هي دولة المماليك  و الدولة الصفوية و الدولة العثمانية .,"The Islamic world witnessed an intense conflict in the late fifteenth century and the beginning of the sixteenth century, but there were three powerful forces: the Mamluk state, the Safavid state, and the Ottoman state."
دولة المماليك قامت في مصر و الشام و الحجاز و جزء من ساحل افريقيا الشرقي المطل علي البحر الاحمر وقد تعرضت دولة المماليك في اواخر القرن ال 15 الميلادي لازمات مالية وتدهور اقتصادي بعد اكتشاف طريق راس الرجاء الصالح عام 1489م ,"The Mamluk state was established in Egypt, the Levant, Hijaz, and part of the eastern coast of Africa overlooking the Red Sea. In the late 15th century AD, the Mamluk state was exposed to financial crises and economic deterioration after the discovery of the Cape of Good Hope road in 1489 AD"
وتحطم الاسطول المملوكي عام 1509م في معركة ديو البحرية كما تعرضت لازمات سياسية بسبب اضطراب الامن و الصراع المستمر بين المماليك وكثر الفتن و الثورات الداخلية مما ادي الي اضعاف قوتهم العسكرية .,", and the destruction of the Mamluk fleet in 1509 AD in the Battle of Diu. The Navy was also exposed to political crises due to the security turmoil, the ongoing conflict between the Mamluks, and the many internal strife and revolutions, which led to the weakening of their military power."
"الدولة العثمانية مع بداية القرن السادس عشر الميلادي اتجه السلطان سليم الاول في غزواته نحو الشرق ، فكان الصدام العسكري مع الدولة الصفوية في ايران و الدولة المملوكية في الشام ومصر.","The Ottoman Empire: At the beginning of the sixteenth century AD, Sultan Selim I headed his conquests towards the East, and there was a military clash with the Safavid state in Iran and the Mamluk state in the Levant and Egypt."
الدولة الصفوية و بعد ان تمكن السلطان سليم الاول من هزيمة الصفويين في موقعة جالديران 1514 م ودخوله العاسمة تبريز اتجه بجيشه العثماني الي الدولة المملوكية في مصر  و الشام .,"The Safavid state. After Sultan Selim I was able to defeat the Safavids in the Battle of Chaldiran in 1514 AD and entered the capital city of Tabriz, he headed with his Ottoman army to the Mamluk state in Egypt and the Levant."
اتجه العثمانيين الي الي مصر و الشام بسبب رغبة السلطان سليم الاول في توسيع ممتلكاته في الشرق عن طريق الاستيلاء علي مصر التي تمثل قلب العالم الاسلامي و ايضا بسبب ادراك السلطان سليم الاول ان الصدام مع الدولة الاوروبية,"The Ottomans turned to Egypt and the Levant because of Sultan Selim I’s desire to expand his possessions in the East by seizing Egypt, which represents the heart of the Islamic world, and also because of Sultan Selim I’s realization that a clash with the European state "
في ذلك الوقت محفوق بالمخاطر بسبب تفوقهم حضاريا وعسكريا علي العثمانيين ومن هنا كان التوجه نحو الشرق لتحقيق السيطرة علي المنطقة ,at that time was fraught with danger because of their cultural and military superiority over the Ottomans. Hence the move towards the east to achieve control over the region.
استيلاء العثمانيين علي مصر و الشام في مرج دابق في اغسطس عام 1516م بادر السلطان العثماني سليم الاول بالاستيلاء علي امارة ذي القادر المملوكية التي تقع علي الحود بين الدولتين العثمانية والمملوكية فخرج السلطان الغوري للشام ودارت معركة بين المماليك والعثمانيين عند مرج دابق هزمت في القوات المملوكية .,"The Ottomans took control of Egypt and the Levant at Marj Dabiq in August 1516 AD. The Ottoman Sultan Selim I took the initiative to seize the Mamluk emirate of Dhu al-Qadir, which is located on the border between the Ottoman and Mamluk states. So Sultan al-Ghuri went to the Levant and a battle took place between the Mamluks and the Ottomans at Marj Dabiq and was defeated by the Mamluk forces."
التقي العثمانيون بجيوش طومان باي عند الريدانية بصحراء العباسية في يناير عام 1517م واسفرت المعركة عن هزيمة طومان باي وفوز العثمانيين ودخول العثمانيين القاهرة وهكذا انتهت دولة المماليك في مصر والشام وصارت مصر ولاية عثمانية .,"The Ottomans met the armies of Tuman Bey at Al-Raydaniyah in the Abbasid Desert in January 1517 AD. The battle resulted in the defeat of Tuman Bey, the victory of the Ottomans, and the entry of the Ottomans into Cairo. Thus, the Mamluk state in Egypt and the Levant ended, and Egypt became an Ottoman province."
تم هزيمة الجيوش المملوكية بسبب التفوق العسكري للجيش العثماني  و استخدام اساليب القتال الحديثة و الاسلحة المتطورة  و نزاع المماليك المستمر علي السلطة وعدم الاستقرار الداخلي .,"The Mamluk armies were defeated due to the military superiority of the Ottoman army, the use of modern fighting methods and advanced weapons, the ongoing Mamluk conflict over power, and internal instability."
وكانت نتائج هزيمة الجيوش المملوكية هي تحول مصر من دولة مستقلة الي ولاية من ولايات الدولة العثمانية ,The results of the defeat of the Mamluk armies were the transformation of Egypt from an independent state into one of the states of the Ottoman Empire
وسيطرة العثمانيون علي العالم العربي من اتجاهين هما الاسيوي و الافريقي و انتقال خلافة العالم الاسلامي الدينية و السياسية الي الدولة العثمانية و اعلان سليم الاول نفسه الحامي الوحيد للحرمين الشريفين ولجميع رعاياه في العالم الاسلامي .,"The Ottomans controlled the Arab world from two directions: Asian and African, and the transfer of the religious and political caliphate of the Islamic world to the Ottoman Empire, and Selim I declared himself the sole protector of the Two Holy Mosques and of all his subjects in the Islamic world."
ملامح الحياة في مصر ابان الحكم العثماني خضعت مصر للحكم العثماني نحو اربعة قرون متتالية وكان حكمهم جامدا راكدا نتج عنه تحول مصر الي ولاية معزولة عن المؤثرات الحضارية الحديثة في اوروبا .,"Features of life in Egypt during Ottoman rule. Egypt was subject to Ottoman rule for about four consecutive centuries, and their rule was rigid and stagnant, resulting in Egypt turning into a state isolated from modern civilizational influences in Europe."
في الحياة السياسية للدولة العثمانية وضع العثمانيون نظاما للحكم يتكون من عندة هيئات  وهي الوالي و الديوان و الحامية العثمانية و ادارة الاقاليم .,"In the political life of the Ottoman Empire, the Ottomans established a system of government consisting of several bodies, namely the governor, the court, the Ottoman garrison, and the administration of the regions."
لقد حمل نظام الحكم العثماني في ثناياه عوامل ضعفه بسبب قصر مدة حكم الوالي التي تتراوح ما بين سنة وثلاث سنوات وزيادة سلطة الديوان و الحامية العثمانية .,"The Ottoman system of government carried within it its weaknesses due to the short period of rule of the governor, which ranged between one and three years, and the increased authority of the court and the Ottoman garrison."
ونتيجة ضعف الدولة العثمانية تطلع بكوات المماليك (حكام الاقاليم) للانفراد بالحكم وكان من ابرزهم علي بك الكبير الذي صار الحاكم الفعلي لمصر عام 1768م,"As a result of the weakness of the Ottoman Empire, the Mamluks (provincial rulers) looked to monopolize power. The most prominent of them was Ali Bey the Great, who became the de facto ruler of Egypt in 1768 AD"
تحالف علي بك الكبير مع الشيخ ظاهر العمر حاكم جنوب الشام واخضع الحجاز لنفوذه وارسل نائبه محمد بك ابو الدهب لغزو الشام واستطاع دخول دمشق الا انه انحاز للسلطان العثماني واتفق معه ضد علي بك الكبير وفشلت حركة علي بك الكبير وعادت مصر ولاية عثمانية تحت حكم شيخ البلد محمد بك ابو الدهب .,"Ali Bey the Great allied with Sheikh Zahir al-Omar, the ruler of the southern Levant, and subjected the Hijaz to his influence. He sent his deputy, Muhammad Bey Abu al-Dahab, to invade the Levant and was able to enter. Damascus, but he sided with the Ottoman Sultan and agreed with him against Ali Bey the Great. Ali Bey the Great’s movement failed and Egypt returned to an Ottoman state under the rule of the sheikh of the country, Muhammad Bey Abu Al-Dahab."
تدهورت الحياة الاقتصادية في مصر ابان العصر العثماني حيث كانت الزراعة كانت الارض ملكا للدولة ممثلة في السلطان وكانت تتم زراعتها عن طريق تكليف الفلاحين فيما عرف بحق الانتفاع حيث ينتفع الفلاح بزراعة الاراضي وليس له في التصرف فيها ومع ضعف الدولة العثمانية تم تطبيق نظام الالتزام في منتصف القرن 17م.,"Economic life deteriorated in Egypt during the Ottoman era, as agriculture was the property of the state, represented by the Sultan, and it was cultivated by entrusting the farmers with what was known as usufruct, where the farmer benefits from cultivating the lands and does not have the right to dispose of them. With the weakness of the Ottoman Empire, the commitment system was implemented in the middle of the century 17 "
أثقلت الدولة الفلاح بالضرائب المفروضة علي الاراضي الزراعية وشدة تعسف وظلم الملتزمين في جمعها وعدم اهتمام الطبقة الحاكمة بتنظيم الري او اقامة السدود وحفر الترع مما ادي الي تدهور الزراعة وتدهور احوال المجتمع الريفي بوجه عام .,"The state burdened the farmer with taxes imposed on agricultural lands, the severity of the arbitrariness and injustice of those responsible for collecting them, and the lack of interest of the ruling class in organizing irrigation or constructing dams and digging canals, which led to the deterioration of agriculture and the deterioration of the conditions of rural society in general."
تاخرت الصناعة في العصر العثماني في مصر بسبب تدهور الزراعة ونتقال الحرفيين والصناع المهرة الي الاستانة عاصمة الدولة العثمانية فاصبحت الصناعات يدوية بسيطة وكانت رديئة .,"Industry was delayed in the Ottoman era in Egypt due to the deterioration of agriculture and the movement of skilled craftsmen and craftsmen to Astana, the capital of the Ottoman Empire, so handicrafts became simple and poor."
كسدت التجارة الداخلية في مصر ابان العصر العثماني بسبب تدهور الزراعة والصناعة وافتقاد الامان وعدم الاهتمام بالطرق البرية والاغارات المتلاحقة لبدو الصحراء التجارة الخارجية تدهورت التجارة الخارجية بسبب تحول الطريق التجاري بين الشرق والغرب الي طريق راس الرجاء الصالح ومنح الدولة العثمانية الامتيازات الاجنبية للدول الاوروبية .,"Internal trade in Egypt stagnated during the Ottoman era due to the deterioration of agriculture and industry, lack of security, lack of interest in land routes, and successive raids by desert Bedouins. Foreign trade Foreign trade deteriorated due to the transformation of the trade route between East and West to the Cape of Good Hope route and the granting of foreign privileges to European countries by the Ottoman Empire."
الحياة الاجتماعية خلال الحكم العثماني ينقسم الي فئتين متميزتين فئة الحكام حيث كان لها كافة السلطات في شئون الحكام والادارة والجيش وتركزت في ايدي الاتراك و المماليك,"Social life during Ottoman rule was divided into two distinct categories: the category of rulers, which had all the powers in the affairs of the rulers, administration, and the army, and was concentrated in the hands of the Turks and the Mamluks."
و فئة المحكومين كانت تنقسم الي طبقة وسطي محدودة من المشايخ وعلماء الازهر ورجال الدين و كبار التجار وطبقة دنيا هم الاكثرية من الفلاحين وصغر الحرفيين وعامة الناس وقد عانت من الظلم والفقر وتفشي الاوبئة  والامراض .,"The class of the governed was divided into a limited middle class of sheikhs, Al-Azhar scholars, clerics, and major merchants, and a lower class, the majority of whom were peasants, small craftsmen, and the common people. It suffered from injustice, poverty, and the spread of epidemics and diseases."
اتسمت الحياة الفكرية والثقافية خلال فترة الحكم العثماني بالجمود والتخلف بسبب العزلة التي فرضها العثمانيون علي البلاد وقد ترتب علي ذلك اهتزاز مكانة الازهر العلمية انذاك ولم يعد هناك اهتمام بالعلوم العقلية او الرياضية او الطبيعية ولكن كان هناك اهتمام العلوم الشرعية وتدهور الحياة الادبية و انتشار الدجل والشعوذة والخرافات وشاع الجهل .,"Intellectual and cultural life during the period of Ottoman rule was characterized by stagnation and backwardness due to the isolation imposed by the Ottomans on the country. This resulted in a shake-up of Al-Azhar’s scientific standing at that time. There was no longer interest in the mental, mathematical, or natural sciences, but there was interest in the legal sciences, the deterioration of literary life, and the spread of quackery, sorcery, and superstition. Ignorance spread."
واكب الضعف الذي اصاب الدولة العثمانية بدء التنافس الاستعماري بين انجلترا وفي فرنسا في اواخر القرن السابع عشر الميلادي واستمر طوال القرن العاشر الميلادي,The weakness that befell the Ottoman Empire coincided with the beginning of the colonial rivalry between England and France in the late seventeenth century AD and continued throughout the tenth century AD. 
وتعد الحملة الفرنسية علي مصر والشام جزء من هذا التنافس و وجه القنصل الفرنسي في مصر تقارير تفيد بسوء الاوضاع السياسية والداخلية في مصر يحث فيها حكومة الثورة الفرنسية علي ارسال حملة عسكرية علي مصر لذلك ارسلت فرنسا حملتها بقيادة نابليون بونابرت عام 1798م,"The French campaign against Egypt and the Levant was part of this rivalry. The French consul in Egypt sent reports indicating the deteriorating political and internal conditions in Egypt, urging them to The government of the French Revolution wanted to send a military campaign to Egypt, so France sent its campaign under the leadership of Napoleon Bonaparte in 1798 AD."
لتعويض فرنسا عن فقدان مستعمراتها بإنشاء مستعمرة فرنسية في الشرق تكون قاعدتها مصر وقطع الطريق يين انجلترا و مستعمراتها في الهند,To compensate France for the loss of its colonies by establishing a French colony in the East with its base in Egypt and blocking the route between England and its colonies in India.
اعد نابليون الحمله بقيامه باعداد الجيش واصطحاب مجموعة من العلماء في مختلف العلوم والفنون لدراسة احوال مصر من جميع النواحي وكيفية استغلال مواردها واحضار مطبعتين إحداهما فرنسية والاخري عربية وذلك لطبع المنشورات للاهالي,"Napoleon prepared the campaign by preparing the army and taking a group of scholars in various sciences and arts to study the conditions of Egypt in all aspects and how to exploit its resources and bringing two printing presses, one French and the other Arabic, to print leaflets for the people."
خط سير الحملة : ابحرت الحملة من ميناء الون سرا ثم اصدر نابليون اوامره بان تتجه الحمله نحو مصر,"Campaign itinerary: The expedition sailed from the port of Alon secretly, then Napoleon issued orders for the expedition to head towards Egypt."
 وصلت الحملة الي مدينة الاسكندرية فةةاده اهالي الاسكندرية الحملة بزعامه حكامها السيد محمد كريم قوات الحملة قبل ان تصل قوات المماليك من القاهرة ولهذا اعتقلتهالقوات الفرنسية ثم اعدم رميا بالرصاص في سبتمبر ,"The campaign reached the city of Alexandria. The people of Alexandria, led by its ruler, Mr. Muhammad Karim, led the campaign forces before the Mamluk forces arrived from Cairo. For this reason, the French forces arrested them and then executed them by firing squad in September 1798 AD."
واصلت القوات الفرنسية زحفها في طريقها الي القاهرة فالتقت بقوات المماليك بالقرب من شبراخيت في البحيرة في يوليو 1798م فهزموا وفروا جنوبا للدفاع عن القاهرة وراطت عند امبابة وهناك واجه المماليك القوات الفرنسية مرة اخري حيث هزموا وفر مراد بك الي الصعيد وهرب ابراهيم بك ومعه الوالي العثماني الي الشام وكان من اسباب هزيمة المماليك اعتمادهم علي الفروسية بينما كان الفرنسيون يستخدمون المدافع والمعدات الحديثة .,"The French forces continued their advance on their way to Cairo, and they met the Mamluk forces near Shubrakhit in Beheira in July 1798 AD. They were defeated and fled south to defend Cairo. They were stationed at Imbaba. There, the Mamluks faced the French forces again, where they were defeated. Murad Bey fled to Upper Egypt, and Ibrahim Bey fled with the Ottoman governor to the Levant. One of the reasons for the defeat of the Mamluks was their reliance on horsemanship, while the French were using modern cannons and equipment."
دخل نابليون القاهرة بعد ان امن العلماء والمشايخ في الجامع الازهر علي الارواح والاموال,Napoleon entered Cairo after the scholars and sheikhs at Al-Azhar Mosque had secured lives and money.
اغرق الاسطول الانجليزي بقيادة نيلسون اسطول الحملة الفرنسية في خليج ابي قير و حاصر الاسطول البرطاني شواطئ مصرالشمالية في اغسطس 1798م مما ادي الي : القضاء علي امال فرنسا في السيطرة علي سواحة البحر المتوسط و حرمان مصر من امدادات فرنسا لها وشعور الجنود الفرنسيون بانهم محاصرون داخل مصر و توقفت حركة التجارة الخارجية بالنسبة الي مصر,"The English fleet, led by Nelson, sank the French expeditionary fleet in Abu Qir Bay, and the British fleet besieged the northern shores of Egypt in August 1798 AD, which led to: eliminating France’s hopes of controlling the Mediterranean coast, depriving Egypt of French supplies, and making the French soldiers feel that they were besieged inside Egypt. Foreign trade activity stopped for Egypt"
اخفقت القوات الفرنسية في اخضاع اهالي الصعيد الذين اتبعوا حرب المناوشات والمعارك المتفرقة التي انهكت قوة الفرنسيين نظرا لطول الواديمما ادي الي تعاظم الشعور الوطني ونمو الوعي تجاه الاحتلال الفرنسي ,"The French forces failed to subjugate the people of Upper Egypt, who continued the war of skirmishes and sporadic battles that exhausted the strength of the French due to the length of the valley, which led to the increase of national feeling and the growth of awareness towards the French occupation."
ثورة القاهرة الاولي عام اكتوبر 1798م  اسبابها : فرض نابليون بونابرت الضرائب الفادحة و تفتيش البيوت بحثا عن الاموال وهدم ابواب الحارات لمطاردة عناصر المقاومة وهدم كثير من الاثار والمساجد والمباني بحجة تحصين القاهرة,"The First Cairo Revolution in October 1798 AD Its reasons: Napoleon Bonaparte imposed heavy taxes, searched homes in search of money, demolished neighborhood doors to chase away resistance members, and demolished many monuments, mosques, and buildings under the pretext of fortifying Cairo."
 احداثها: اصبح الازهر الشريف مقر قيادة الثورة واشتدت  المقاومة وامتدت الثورة الي الاقاليم المجاورة وقتل حاكم مدينة القاهرة الفرنسي و استخدمت قوات الاحتلال الفرنسية سياسة القمع و الارهاب لاخماد الثورة و دخلوا جامع الازهر بخيولهم مما اثار الشعور الديني لدي المصريين ,"Its events: Al-Azhar Al-Sharqi became the headquarters of the revolution’s leadership. The resistance intensified and the revolution spread to neighboring regions. The French governor of Cairo was killed. The French occupation forces used a policy of repression and terrorism to put down the revolution. They entered Al-Azhar Mosque with their horses, which aroused the religious feeling among the Egyptians."
"ومن نتائجها: إعدام العديد من السكان والثوار، وفرض غرامات مالية على التجار والعلماء، وبدأت القوات الفرنسية في تحصين القاهرة.","Its results: the execution of many residents and revolutionaries, the imposition of financial fines on merchants and scholars, and the French forces began to fortify Cairo."
"الحملة الفرنسية على الشام 1799م:الأسباب: تحالفت الدولة العثمانية مع إنجلترا وروسيا لطرد الفرنسيين من مصر بالقوة العسكرية، فأعدوا حملتين لغزو مصر، الأولى بحرية على جزيرة رودس إلى مصر من الشمال، والثانية برية إلى مصر من الشرق عبر بلاد الشام.","The French campaign against the Levant, 1799 AD: Reasons: The Ottoman Empire allied with England and Russia to expel the French from Egypt by military force, so they prepared two campaigns to invade Egypt, the first freely on the island of Rhodes to Egypt from the north, and the second overland to Egypt from the east via the Levant."
"الأحداث: قاد نابليون بونابرت قواته إلى بلاد الشام من اتجاه العريش، وهزم الجيش العثماني قبل وصوله إلى مصر، في مارس 1799م. وفي طريقه استولى على العريش وغزة وحاصر يافا تحت حصار شديد. وبعد سيطرته على يافا، قام بإعدام جميع أفراد حمايتها رغم ضمان حياتهم، وارتكب جريمة. كان مروعا","Events: Napoleon Bonaparte led his forces to the Levant from the direction of Al-Arish, defeating the Ottoman army before arriving in Egypt, in March 1799 AD. On his way, he seized Al-Arish and Gaza and besieged Jaffa under a severe siege. After taking control of Jaffa, he executed all of its protection members despite ensuring their lives, committing a crime. It was horrific"
والتي سميت بهذا الاسم نسبة إلى مذبحة يافا الإنسانية التي أدت إلى مقاومة وبسالة أهل عكا من مدينتهم بقيادة أحمد باشا الجزار بمساعدة الأسطول البريطاني وإمداده بالمؤن والذخيرة. ونتيجة لذلك فشلت الحملة الفرنسية على مصر واضطر نابليون للعودة إلى مصر.,"which was named after the human massacre of Jaffa, which led to the resistance and bravery of the people of Acre from their city, led by Ahmed Pasha Al-Jazzar, with the help of the British fleet and supplying it with supplies and ammunition. As a result, the French campaign against Egypt failed and Napoleon was forced to return to Egypt."
"معركة أبو قير البحرية أثناء عودة نابليون إلى مصر، وصل الأسطول العثماني إلى أبو قير ووجه نابليون قواته إليها، مما أدى إلى هزيمة القوات العثمانية.","The Naval Battle of Abu Qir During Napoleon's return to Egypt, the Ottoman fleet arrived at Abu Qir and Napoleon directed his forces to them, which led to the defeat of the Ottoman forces."
رحيل بونابرت خلال معركة أبو قير. ترك نابليون الحملة لنائبه كليبر وسافر سراً إلى فرنسا بسبب محاولات الدول الأوروبية ضد فرنسا.,Bonaparte's departure during the Battle of Abu Qir. Napoleon left the campaign to his deputy Kleber and secretly traveled to France because of the attempts of European countries against France.
"وكان كليبر من مؤيدي الجلاء عن مصر لأن المخاطر كانت تهدد الحملة الفرنسية من كل جانب، حيث انخفض عدد الجيش الفرنسي بسبب المعارك والحروب الداخلية والخارجية وإرسال الدولة العثمانية.","Kleber was a supporter of the evacuation from Egypt because dangers threatened the French campaign from every side, as the number of the French army decreased due to internal and external battles and wars and the sending of the Ottoman Empire."
حملة أخرى إلى العريش ودمياط وعودة المماليك للمقاومة وتجددت قوة المصريين في الشرقية وانتقلت إلى وسط الدلتا وأماكن أخرى,"Another campaign to Al-Arish and Damietta, and the return of the Mamluks to the resistance, and the strength of the Egyptians in the Sharqiya was renewed and moved to the middle of the Delta and elsewhere"
مما أدى إلى توجه كليبر للتفاوض مع الدولة العثمانية فيما سمي باتفاقية العريش عام 1800م.,which led to Clipper heading to negotiate with the Ottoman Empire in what is called the Al-Arish Agreement in 1800 AD.
"أ- شروطها: خروج الدولة الفرنسية بجنودها إلى اتجاه كليبر للتفاوض مع الدولة العثمانية، مما سيدفع العثمانيين للتقدم نحو القاهرة.","A- Its conditions: The departure of the French Empire with its soldiers to the direction of Kléber to negotiate with the Ottoman Empire, which will push the Ottomans to advance towards Cairo."
"ب - نتائجها: طلبت الحكومة البريطانية استسلام الجيش الفرنسي كأسرى حرب، إلا أن كليبر رفض","B - Its results: The British government requested the surrender of the French army as war prisoners, but Kléber refused"
هاجم كليبر الدولة العثمانية و اعادها متقهقرة الي الشام مرة اخري,Kleber attacked the Ottoman Empire and drove it back to the Levant once again
